Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
I accidentally deleted a part of my QnA Maker, what should I do?	Do not delete any of the Azure services created along with the QnA Maker resource such as Search or Web App. These are necessary for QnA Maker to work, if you delete one, QnA Maker will stop working correctly.\n\nAll deletes are permanent, including question and answer pairs, files, URLs, custom questions and answers, knowledge bases, or Azure resources. Make sure you export your knowledge base from the **Settings** page before deleting any part of your knowledge base.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	1
Why is my URL(s)/file(s) not extracting question-answer pairs?	It's possible that QnA Maker can't auto-extract some question-and-answer (QnA) content from valid FAQ URLs. In such cases, you can paste the QnA content in a .txt file and see if the tool can ingest it. Alternately, you can editorially add content to your knowledge base through the [QnA Maker portal](https://qnamaker.ai).	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	2
How large a knowledge base can I create?	The size of the knowledge base depends on the SKU of Azure search you choose when creating the QnA Maker service. Read [here](https://docs.microsoft.com/azure/cognitive-services/qnamaker/tutorials/choosing-capacity-qnamaker-deployment) for more details.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	3
Why can't I see anything in the drop-down when I try to create a new knowledge base?	You haven't created any QnA Maker services in Azure yet. Read [here](https://docs.microsoft.com/azure/cognitive-services/qnamaker/how-to/set-up-qnamaker-service-azure) to learn how to do that.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	4
How do I share a knowledge base with others?	Sharing works at the level of a QnA Maker service, that is, all knowledge bases in the service will be shared. Read [here](https://docs.microsoft.com/azure/cognitive-services/qnamaker/how-to/collaborate-knowledge-base) how to collaborate on a knowledge base.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	5
Can you share a knowledge base with a contributor that is not in the same AAD tenant, to modify a knowledge base?	Sharing is based on Azure role-based access control (RBAC). If you can share *any* resource in Azure with another user, you can also share QnA Maker.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	6
If you have an App Service Plan with 5 QnAMaker knowledge bases. Can you assign read/write rights to 5 different users so each of them can access only 1 QnAMaker knowledge base?	You can share an entire QnAMaker service, not individual knowledge bases.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	7
How can I change the default message when no good match is found?	The default message is part of the settings in your App service.\n\n*   Go to your App service resource in the Azure portal\n\n*   Click on the **Settings** option\n\n*   Change the value of the **DefaultAnswer** setting\n\n*   Restart your App service	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	8
Why is my SharePoint link not getting extracted?	See [Data source locations](concepts/data-sources-supported#data-source-locations) for more information.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	9
The updates that I made to my knowledge base are not reflected on publish. Why not?	Every edit operation, whether in a table update, test, or setting, needs to be saved before it can be published. Be sure to click the **Save and train** button after every edit operation.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	10
Does the knowledge base support rich data or multimedia?	The knowledge base supports Markdown. However, the auto-extraction from URLs has limited HTML-to-Markdown conversion capability. If you want to use full-fledged Markdown, you can modify your content directly in the table, or upload a knowledge base with the rich content.\n\nMultimedia, such as images and videos, is not supported at this time.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	11
Does QnA Maker support non-English languages?	See more details about [supported languages](https://docs.microsoft.com/azure/cognitive-services/qnamaker/overview/languages-supported).\n\nIf you have content from multiple languages, be sure to create a separate service for each language.\n\n## Manage service	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	12
When should I restart my app service?	Refresh your app service when the caution icon is next to the version value for the knowledge base in the **Endpoint keys** table on the **User Settings** [page](https://www.qnamaker.ai/UserSettings).	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	13
I deleted my existing Search service. How can I fix this?	If you delete an Azure Cognitive Search index, the operation is final and the index cannot be recovered.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	14
I deleted my testkb index in my Search service. How can I fix this?	Your old data can't be recovered. Create a new QnA Maker resource and create your knowledge base again.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	15
When should I refresh my endpoint keys?	Refresh your endpoint keys if you suspect that they have been compromised.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	16
Can I use the same Azure Cognitive Search resource for knowledge bases using multiple languages?	To use multiple language and multiple knowledge bases, the user has to create an QnA Maker resource for each language. This will create a separate Azure search service per language. Mixing different language knowledge bases in a single Azure search service will result in degraded relevance of results.	https://docs.microsoft.com/azure/cognitive-services/qnamaker/troubleshooting		[]	false	[]	17
